"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.782608695652174,0.836231884057971,0.785507246376812,0.795652173913044,0.831884057971015,0.82463768115942,0.834782608695652,0.83719806763285,0.840579710144927,0.840579710144927
"breast",0.929855072463768,0.932691511387164,0.911304347826087,0.902712215320911,0.93128364389234,0.92703933747412,0.928426501035197,0.935093167701863,0.936997929606625,0.93128364389234
"breastcancer",0.670935960591133,0.685098522167488,0.671182266009852,0.6814039408867,0.699261083743842,0.681896551724138,0.702832512315271,0.695771756978654,0.678448275862069,0.695566502463054
"diabetes",0.708526999316473,0.724196855775803,0.679801777170198,0.681117566643882,0.72406015037594,0.712303485987697,0.7161995898838,0.716228070175439,0.720112781954887,0.696804511278196
"heart",0.725925925925926,0.748148148148148,0.62962962962963,0.618518518518518,0.740740740740741,0.740740740740741,0.748148148148148,0.74320987654321,0.748148148148148,0.72962962962963
"hepatitis",0.737083333333333,0.756666666666667,0.7625,0.76875,0.807916666666667,0.801666666666667,0.820416666666667,0.820138888888889,0.750416666666667,0.762916666666667
"ionosphere",0.786031746031746,0.868809523809524,0.832301587301587,0.826587301587302,0.843095238095238,0.897380952380952,0.864603174603175,0.872619047619048,0.848888888888889,0.866031746031746
"labor",0.603333333333333,0.726666666666667,0.826666666666667,0.843333333333333,0.74,0.826666666666667,0.793333333333333,0.81,0.806666666666667,0.776666666666667
"liver-disorders",0.54453781512605,0.558991596638655,0.582352941176471,0.59109243697479,0.568067226890756,0.654957983193277,0.615882352941176,0.617058823529412,0.550420168067227,0.593865546218487
"mushroom",0.996801513581638,0.99852353080181,0.990522846115161,0.989784232817698,0.999014778325123,1,1,1,0.99901492980447,0.998031374402414
"sick",0.95546503305124,0.977998821102269,0.97799811937743,0.97879317362076,0.977734270837719,0.978791770171081,0.97905702216047,0.978967669197554,0.963409961685824,0.976409414340449
"sonar",0.611904761904762,0.606904761904762,0.605952380952381,0.596190476190476,0.630952380952381,0.624285714285714,0.63,0.644444444444444,0.702857142857143,0.607619047619048
"tic-tac-toe",0.779649122807017,0.875789473684211,0.764177631578947,0.764199561403509,0.75375,0.924879385964912,0.884577850877193,0.906337719298246,0.765065789473684,0.843475877192982
"vote",0.855179704016913,0.951849894291755,0.921934460887949,0.945031712473573,0.947463002114165,0.956501057082452,0.955311839323467,0.953453136011276,0.94492600422833,0.947251585623679
"Average",0.763417072652536,0.803469132650207,0.781559421504941,0.784511903120321,0.799658802900423,0.825124856678417,0.819540828570254,0.823608619144349,0.80399664743254,0.804723708726449
"RankSum",121,70,111,102,74,53,47,37,73,78
