"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.829542201940327,0.849404991516803,0.847514486320784,0.859134297091028,0.853369333510985,0.829682360496709,0.841786289207333,0.842353042105742,0.85545024044518,0.858699676224193
"breast",0.945256277779333,0.943100781205638,0.939883871548408,0.938999540061873,0.924139760759082,0.928314896474357,0.929914472994754,0.936385113588895,0.943136929611754,0.943298319438347
"breastcancer",0.684205936307386,0.679637408053343,0.637090807242479,0.655382960604455,0.679921961818513,0.685151994135181,0.686411294753692,0.678174954934517,0.693637445284955,0.706437146506112
"diabetes",0.723005078140307,0.730678058639672,0.687814788764305,0.702081094023647,0.730414471095491,0.711590557564138,0.708553898154895,0.710302332197507,0.740702550757097,0.738410350699401
"heart",0.790759269969796,0.786651673489909,0.725266801100134,0.730956872648049,0.756540414015904,0.759236063803057,0.763969620182772,0.759661775729759,0.790549622248969,0.768840189706203
"hepatitis",0.817478112165612,0.796648509669343,0.811721611721612,0.833722527472528,0.844428334011667,0.805138125763126,0.825929268081161,0.828794072635033,0.838718515281015,0.810090218423552
"ionosphere",0.891746350871351,0.896788099978192,0.854806966664575,0.864483231123942,0.836693310043771,0.902319865418616,0.86706197456468,0.87461355763394,0.873757604991015,0.88630962100483
"labor",0.838888888888889,0.847222222222222,0.895833333333333,0.884259259259259,0.751388888888889,0.870987654320988,0.838280423280423,0.844652777777778,0.818888888888889,0.862037037037037
"liver-disorders",0.623136523288005,0.624166254243932,0.579801425541725,0.580164781148442,0.549956862632708,0.657924568748944,0.61637351882542,0.616490959117735,0.563058396348828,0.60965322164141
"mushroom",0.9984043877115,0.999018697020589,0.993589631207503,0.993345981423287,0.998047534057442,1,1,1,0.999140126897887,0.998282875362496
"sick",0.973548141647424,0.978273050633378,0.97696673995455,0.977254889309561,0.977289525176563,0.978536512350715,0.978394563664711,0.97842982488855,0.978271671374647,0.979182190710246
"sonar",0.660024969583793,0.639261793761794,0.617752703645561,0.639175157242384,0.691703957418243,0.648722741038918,0.645820938320938,0.659604862357352,0.684292929292929,0.637247775372775
"tic-tac-toe",0.84734881567675,0.880675737046868,0.811348462835265,0.816693603056198,0.817325029472084,0.925782394566038,0.888471528904474,0.908803467742711,0.867447982760349,0.885346613676891
"vote",0.890412630193703,0.954063097188947,0.948527143086354,0.949519207475694,0.956219585960783,0.958654624818831,0.957016533738377,0.95544506170359,0.954900783482939,0.951973103895718
"Average",0.822411256011727,0.828970741047902,0.809137055211899,0.816083814424311,0.811959926347295,0.833003025678544,0.824856023190974,0.828122271600936,0.828710977690461,0.831129167121372
"RankSum",77,69,113,97,90,60,74,69,60,61
