"","RuleMatchCount-PART x RuleMatchWeighted-PART","RuleMatchCount-PART x RuleMatchWeighted-PART p-value","RuleMatchCount-PART x RuleMatchCount-J48","RuleMatchCount-PART x RuleMatchCount-J48 p-value","RuleMatchCount-PART x RuleMatchWeighted-J48","RuleMatchCount-PART x RuleMatchWeighted-J48 p-value","RuleMatchCount-PART x RuleMatchCount-DT","RuleMatchCount-PART x RuleMatchCount-DT p-value","RuleMatchCount-PART x PureJ48","RuleMatchCount-PART x PureJ48 p-value","RuleMatchCount-PART x PureDT","RuleMatchCount-PART x PureDT p-value","RuleMatchCount-PART x PurePART","RuleMatchCount-PART x PurePART p-value","RuleMatchCount-PART x RuleMatchCount-Rand","RuleMatchCount-PART x RuleMatchCount-Rand p-value","RuleMatchCount-PART x RuleMatchWeighted-Rand","RuleMatchCount-PART x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-PART x RuleMatchCount-J48","RuleMatchWeighted-PART x RuleMatchCount-J48 p-value","RuleMatchWeighted-PART x RuleMatchWeighted-J48","RuleMatchWeighted-PART x RuleMatchWeighted-J48 p-value","RuleMatchWeighted-PART x RuleMatchCount-DT","RuleMatchWeighted-PART x RuleMatchCount-DT p-value","RuleMatchWeighted-PART x PureJ48","RuleMatchWeighted-PART x PureJ48 p-value","RuleMatchWeighted-PART x PureDT","RuleMatchWeighted-PART x PureDT p-value","RuleMatchWeighted-PART x PurePART","RuleMatchWeighted-PART x PurePART p-value","RuleMatchWeighted-PART x RuleMatchCount-Rand","RuleMatchWeighted-PART x RuleMatchCount-Rand p-value","RuleMatchWeighted-PART x RuleMatchWeighted-Rand","RuleMatchWeighted-PART x RuleMatchWeighted-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-J48","RuleMatchCount-J48 x RuleMatchWeighted-J48 p-value","RuleMatchCount-J48 x RuleMatchCount-DT","RuleMatchCount-J48 x RuleMatchCount-DT p-value","RuleMatchCount-J48 x PureJ48","RuleMatchCount-J48 x PureJ48 p-value","RuleMatchCount-J48 x PureDT","RuleMatchCount-J48 x PureDT p-value","RuleMatchCount-J48 x PurePART","RuleMatchCount-J48 x PurePART p-value","RuleMatchCount-J48 x RuleMatchCount-Rand","RuleMatchCount-J48 x RuleMatchCount-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-Rand","RuleMatchCount-J48 x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-J48 x RuleMatchCount-DT","RuleMatchWeighted-J48 x RuleMatchCount-DT p-value","RuleMatchWeighted-J48 x PureJ48","RuleMatchWeighted-J48 x PureJ48 p-value","RuleMatchWeighted-J48 x PureDT","RuleMatchWeighted-J48 x PureDT p-value","RuleMatchWeighted-J48 x PurePART","RuleMatchWeighted-J48 x PurePART p-value","RuleMatchWeighted-J48 x RuleMatchCount-Rand","RuleMatchWeighted-J48 x RuleMatchCount-Rand p-value","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand p-value","RuleMatchCount-DT x PureJ48","RuleMatchCount-DT x PureJ48 p-value","RuleMatchCount-DT x PureDT","RuleMatchCount-DT x PureDT p-value","RuleMatchCount-DT x PurePART","RuleMatchCount-DT x PurePART p-value","RuleMatchCount-DT x RuleMatchCount-Rand","RuleMatchCount-DT x RuleMatchCount-Rand p-value","RuleMatchCount-DT x RuleMatchWeighted-Rand","RuleMatchCount-DT x RuleMatchWeighted-Rand p-value","PureJ48 x PureDT","PureJ48 x PureDT p-value","PureJ48 x PurePART","PureJ48 x PurePART p-value","PureJ48 x RuleMatchCount-Rand","PureJ48 x RuleMatchCount-Rand p-value","PureJ48 x RuleMatchWeighted-Rand","PureJ48 x RuleMatchWeighted-Rand p-value","PureDT x PurePART","PureDT x PurePART p-value","PureDT x RuleMatchCount-Rand","PureDT x RuleMatchCount-Rand p-value","PureDT x RuleMatchWeighted-Rand","PureDT x RuleMatchWeighted-Rand p-value","PurePART x RuleMatchCount-Rand","PurePART x RuleMatchCount-Rand p-value","PurePART x RuleMatchWeighted-Rand","PurePART x RuleMatchWeighted-Rand p-value","RuleMatchCount-Rand x RuleMatchWeighted-Rand","RuleMatchCount-Rand x RuleMatchWeighted-Rand p-value"
"Accuracy","< (03x11)","0.0383005285343547","> (09x05)","0.414446222764492","> (09x05)","0.615518503675301","< (06x08)","0.615518503675301","< (05x08)","0.12417472567758","t (07x07)","0.346373280006178","< (05x09)","0.0900820575789648","< (04x10)","0.0596604735623143","< (06x08)","0.187401192001721","> (12x02)","0.051588654139441","> (11x03)","0.0961150924976577","> (09x04)","0.162199234113151","< (05x09)","0.451258974150342","t (07x07)","0.949944493522","< (06x07)","0.674986713970489","< (06x08)","0.949944493522","t (07x07)","0.753610350301361","< (05x08)","0.29450739368011","< (05x09)","0.315174424989568","< (03x11)","0.0280078166969702","< (03x11)","0.0383005285343547","< (03x11)","0.0170556294065931","< (01x13)","0.0170556294065931","< (01x13)","0.0120369481070948","< (05x09)","0.489853845560898","< (02x12)","0.0328100197002589","< (03x11)","0.0445533169117585","< (03x11)","0.0170556294065931","< (02x12)","0.0280078166969702","< (02x11)","0.0210979717247784","< (05x08)","0.484641678788314","< (04x10)","0.258486052233535","< (05x09)","0.258486052233535","< (04x10)","0.0900820575789648","< (04x10)","0.131904094905011","< (05x08)","0.888840680809476","< (05x08)","1","> (07x06)","0.726767806199101","> (10x04)","0.315174424989568","< (05x08)","0.184235113180511","> (07x06)","0.888840680809476","> (09x05)","0.660346099350424","> (08x06)","0.70642711574737","> (10x04)","0.285881444542875","> (08x06)","0.949944493522"
"PrecisionWeightedAvg","< (05x09)","0.285881444542875","> (10x04)","0.187401192001721","> (09x05)","0.414446222764492","> (08x06)","0.451258974150342","< (05x09)","0.451258974150342","t (07x07)","0.850618403625297","t (07x07)","0.949944493522","< (05x09)","0.209286554781767","t (07x07)","0.285881444542875","> (12x02)","0.0328100197002589","> (11x03)","0.116551957746077","> (09x05)","0.209286554781767","< (04x10)","0.414446222764492","t (07x07)","0.315174424989568","> (08x06)","0.530158014945287","< (05x09)","0.615518503675301","< (06x08)","0.615518503675301","< (03x11)","0.0170556294065931","< (04x10)","0.285881444542875","< (04x10)","0.0596604735623143","< (03x11)","0.0445533169117585","< (03x11)","0.0328100197002589","< (02x12)","0.0445533169117585","< (02x12)","0.0100578003666","< (05x09)","0.753610350301361","< (04x10)","0.209286554781767","< (04x10)","0.346373280006178","< (04x10)","0.102639775576908","< (03x11)","0.0787915035643527","< (04x10)","0.0516462183078041","< (04x10)","0.258486052233535","< (04x10)","0.285881444542875","< (06x08)","0.346373280006178","< (03x11)","0.0170556294065931","< (03x11)","0.0686801607303541","> (08x05)","0.2634941841412","> (08x05)","0.401678166469773","t (07x07)","1","t (07x07)","0.949944493522","< (03x10)","0.107973208797929","< (06x08)","0.414446222764492","< (06x08)","0.209286554781767","t (07x07)","0.753610350301361","< (06x08)","0.530158014945287","< (06x08)","0.70642711574737"
"RecallWeightedAvg","< (03x11)","0.0383005285343547","> (09x05)","0.414446222764492","> (09x05)","0.615518503675301","< (06x08)","0.615518503675301","< (05x08)","0.12417472567758","t (07x07)","0.346373280006178","< (05x09)","0.0900820575789648","< (04x10)","0.0596604735623143","< (06x08)","0.187401192001721","> (12x02)","0.0516462183078041","> (11x03)","0.0900820575789648","> (09x04)","0.162199234113151","< (05x09)","0.451258974150342","t (07x07)","0.949944493522","< (06x07)","0.674986713970489","< (06x08)","0.949944493522","t (07x07)","0.753610350301361","< (06x08)","0.315174424989568","< (05x09)","0.315174424989568","< (03x11)","0.0280078166969702","< (03x11)","0.0383005285343547","< (03x11)","0.0170556294065931","< (01x13)","0.0170556294065931","< (01x13)","0.0120369481070948","< (05x09)","0.489853845560898","< (02x12)","0.0328100197002589","< (03x11)","0.0445533169117585","< (03x11)","0.0170556294065931","< (02x12)","0.0280078166969702","< (02x11)","0.0210979717247784","< (05x08)","0.484641678788314","< (04x10)","0.258486052233535","< (05x09)","0.258486052233535","< (04x10)","0.0900820575789648","< (04x10)","0.131904094905011","< (05x08)","0.888840680809476","< (05x08)","1","> (07x06)","0.726767806199101","> (10x04)","0.315174424989568","< (05x08)","0.184235113180511","> (07x06)","0.888840680809476","> (09x05)","0.660346099350424","> (08x06)","0.70642711574737","> (10x04)","0.285881444542875","> (08x06)","0.949944493522"
"FMeasureWeightedAvg","< (05x09)","0.148778617087727","> (09x05)","0.414446222764492","> (09x05)","0.572081696065726","t (07x07)","0.70642711574737","< (04x10)","0.0596604735623143","< (05x09)","0.167253563317042","< (05x09)","0.0445533169117585","< (04x10)","0.0686801607303541","< (06x08)","0.258486052233535","> (12x02)","0.0516462183078041","> (11x03)","0.148778617087727","> (09x05)","0.148778617087727","< (05x09)","0.187401192001721","< (06x08)","0.615518503675301","< (06x08)","0.414446222764492","< (05x09)","0.801732212656982","< (06x08)","0.801732212656982","< (05x09)","0.572081696065726","< (04x10)","0.379471360411207","< (03x11)","0.0516462183078041","< (03x11)","0.0383005285343547","< (03x11)","0.0238241460165172","< (02x12)","0.0383005285343547","< (01x13)","0.0143538943534938","< (05x09)","0.572081696065726","< (04x10)","0.0686801607303541","< (04x10)","0.0787915035643527","< (04x10)","0.0280078166969702","< (04x10)","0.148778617087727","< (03x11)","0.0238241460165172","< (04x10)","0.148778617087727","< (04x10)","0.148778617087727","< (05x09)","0.148778617087727","< (04x10)","0.0516462183078041","< (05x09)","0.187401192001721","> (07x06)","0.624700399444191","> (08x05)","0.726767806199101","> (08x06)","0.660346099350424","> (09x05)","0.285881444542875","< (03x10)","0.0360316862182336","t (07x07)","0.801732212656982","> (09x05)","0.451258974150342","> (09x05)","0.414446222764492","> (10x04)","0.102639775576908","> (08x06)","0.801732212656982"
"Summary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wins c1","RuleMatchCount-PART","0","RuleMatchCount-PART","4","RuleMatchCount-PART","4","RuleMatchCount-PART","1","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","1","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","PureJ48","2","PureJ48","2","PureJ48","3","PureJ48","3","PureDT","0","PureDT","2","PureDT","3","PurePART","3","PurePART","3","RuleMatchCount-Rand","3"
"wins c2","RuleMatchWeighted-PART","4","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","2","PureJ48","4","PureDT","1","PurePART","3","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","3","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","4","PureDT","1","PurePART","3","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","2","RuleMatchWeighted-J48","4","RuleMatchCount-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","PureDT","2","PurePART","2","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","4","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","1","RuleMatchWeighted-Rand","1"
"ties","Tie","0","Tie","0","Tie","0","Tie","1","Tie","0","Tie","3","Tie","1","Tie","0","Tie","1","Tie","0","Tie","0","Tie","0","Tie","0","Tie","3","Tie","0","Tie","0","Tie","2","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","1","Tie","1","Tie","0","Tie","1","Tie","0","Tie","1","Tie","0","Tie","0"
"wins c1 sig","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","1","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","PureJ48","0","PureJ48","0","PureJ48","0","PureJ48","0","PureDT","0","PureDT","0","PureDT","0","PurePART","0","PurePART","0","RuleMatchCount-Rand","0"
"win c2 sig","RuleMatchWeighted-PART","2","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","0","PureDT","0","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-J48","1","RuleMatchCount-DT","0","PureJ48","2","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-DT","0","PureJ48","2","PureDT","2","PurePART","3","RuleMatchCount-Rand","2","RuleMatchWeighted-Rand","3","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","0"
