"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.82463768115942,0.844927536231884,0.842028985507246,0.852173913043478,0.844927536231884,0.856521739130435,0.82463768115942,0.834782608695652,0.83719806763285,0.852173913043478,0.857971014492754
"breast",0.94416149068323,0.941304347826087,0.938405797101449,0.936997929606625,0.922691511387164,0.922691511387164,0.92703933747412,0.928426501035197,0.935093167701863,0.948426501035197,0.934120082815735
"breastcancer",0.705911330049261,0.709113300492611,0.649261083743842,0.674384236453202,0.710098522167488,0.720689655172414,0.681896551724138,0.702832512315271,0.695771756978654,0.70948275862069,0.720197044334975
"diabetes",0.72147983595352,0.730639097744361,0.691507177033493,0.704511278195489,0.729306220095694,0.729323308270677,0.712303485987697,0.7161995898838,0.716228070175439,0.739695830485304,0.731869446343131
"heart",0.751851851851852,0.755555555555556,0.696296296296296,0.7,0.740740740740741,0.72962962962963,0.740740740740741,0.748148148148148,0.74320987654321,0.740740740740741,0.77037037037037
"hepatitis",0.769583333333333,0.764166666666667,0.782083333333333,0.80125,0.814166666666667,0.794583333333333,0.801666666666667,0.820416666666667,0.820138888888889,0.795416666666667,0.76375
"ionosphere",0.880238095238095,0.886031746031746,0.849126984126984,0.826428571428571,0.828809523809524,0.78031746031746,0.897380952380952,0.864603174603175,0.872619047619048,0.877460317460317,0.814761904761905
"labor",0.561111111111111,0.766666666666667,0.85,0.822222222222222,0.666666666666667,0.705555555555556,0.826666666666667,0.793333333333333,0.81,0.811111111111111,0.7
"liver-disorders",0.616974789915966,0.617058823529412,0.558991596638655,0.564705882352941,0.55672268907563,0.588487394957983,0.654957983193277,0.615882352941176,0.617058823529412,0.596974789915966,0.596974789915966
"mushroom",0.998399469216367,0.999015232763165,0.993476541908276,0.993230539448252,0.998030617005677,0.997661461836293,1,1,1,0.998892231533153,0.998522621925727
"sick",0.965532679325783,0.977205170308619,0.976671157705641,0.97667115770564,0.9772030651341,0.977734270837719,0.978791770171081,0.97905702216047,0.978967669197554,0.97852792163137,0.97773286738804
"sonar",0.631190476190476,0.616904761904762,0.601904761904762,0.601428571428571,0.66952380952381,0.639761904761905,0.624285714285714,0.63,0.644444444444444,0.635952380952381,0.620952380952381
"tic-tac-toe",0.84452850877193,0.877850877192982,0.809989035087719,0.81422149122807,0.804736842105263,0.774627192982456,0.924879385964912,0.884577850877193,0.906337719298246,0.864331140350877,0.864364035087719
"vote",0.835993657505285,0.951902748414376,0.945031712473573,0.9473044397463,0.954281183932347,0.954175475687104,0.956501057082452,0.955311839323467,0.953453136011276,0.9473044397463,0.954175475687104
"Average",0.789399593593259,0.817024466523492,0.798912461632948,0.801109302347097,0.801278971038761,0.797982849561438,0.825124856678417,0.819540828570254,0.823608619144349,0.821177910235254,0.807554431005415
"RankSum",95,70,118,112,92,92,66,68,62,63,78
