"","3","5","10","20","30","PureJ48"
"australian",0.785507246376812,0.801449275362319,0.807246376811594,0.83768115942029,0.842028985507246,0.82463768115942
"breast",0.911304347826087,0.931325051759834,0.94128364389234,0.941262939958592,0.938405797101449,0.92703933747412
"breastcancer",0.671182266009852,0.660344827586207,0.667364532019704,0.660098522167488,0.649261083743842,0.681896551724138
"diabetes",0.679801777170198,0.671941216678059,0.677136021872864,0.682399179767601,0.691507177033493,0.712303485987697
"heart",0.62962962962963,0.659259259259259,0.707407407407407,0.696296296296296,0.696296296296296,0.740740740740741
"hepatitis",0.7625,0.7625,0.774583333333333,0.788333333333333,0.782083333333333,0.801666666666667
"ionosphere",0.832301587301587,0.871984126984127,0.869047619047619,0.849126984126984,0.849126984126984,0.897380952380952
"labor",0.826666666666667,0.826666666666667,0.843333333333333,0.85,0.85,0.826666666666667
"liver-disorders",0.582352941176471,0.591260504201681,0.600084033613445,0.559075630252101,0.558991596638655,0.654957983193277
"mushroom",0.990522846115161,0.991138609661959,0.99064599882452,0.993476541908276,0.993476541908276,1
"sick",0.97799811937743,0.97826337136682,0.97773286738804,0.97693640969503,0.976671157705641,0.978791770171081
"sonar",0.605952380952381,0.586666666666667,0.620476190476191,0.601904761904762,0.601904761904762,0.624285714285714
"tic-tac-toe",0.764177631578947,0.793453947368421,0.812160087719298,0.824583333333333,0.809989035087719,0.924879385964912
"vote",0.921934460887949,0.922040169133192,0.935940803382664,0.944978858350951,0.945031712473573,0.956501057082452
"Average",0.781559421504941,0.789163835192515,0.801745874937311,0.800439567893931,0.798912461632948,0.825124856678417
"RankSum",74,66,47,46,51,25
