"","3","5","10","20","30","CentDT"
"australian",0.841497367029164,0.85283885537346,0.85337888925977,0.854939223522314,0.853369333510985,0.841786289207333
"breast",0.931964596853848,0.927656763865581,0.930941331478414,0.928582242190694,0.924139760759082,0.929914472994754
"breastcancer",0.68822267132612,0.680177320353811,0.71451376170704,0.667713630697139,0.679921961818513,0.686411294753692
"diabetes",0.724851867042601,0.72476376309461,0.730525033703955,0.723178625537292,0.730414471095491,0.708553898154895
"heart",0.757671536553115,0.763799000865994,0.777347884011541,0.765349914246973,0.756540414015904,0.763969620182772
"hepatitis",0.825058760683761,0.825058760683761,0.841159997409997,0.844428334011667,0.844428334011667,0.825929268081161
"ionosphere",0.855927336420194,0.881666357146056,0.885714892806393,0.841962069654895,0.836693310043771,0.86706197456468
"labor",0.849206349206349,0.87962962962963,0.87962962962963,0.774444444444444,0.751388888888889,0.838280423280423
"liver-disorders",0.564356893179757,0.558003724070645,0.549808933591388,0.556348174911579,0.549956862632708,0.61637351882542
"mushroom",0.999018878929448,0.999018878929448,0.999018878929448,0.997687369277383,0.998047534057442,1
"sick",0.977204589785304,0.977806046828352,0.977689247303569,0.977482767568889,0.977289525176563,0.978394563664711
"sonar",0.660745331349323,0.652950858665144,0.698573622145051,0.697528186099615,0.691703957418243,0.645820938320938
"tic-tac-toe",0.786125297329493,0.833630051005809,0.838179354188992,0.823399825369827,0.817325029472084,0.888471528904474
"vote",0.949793801261672,0.945487169048063,0.95627438635534,0.956219585960783,0.956219585960783,0.957016533738377
"Average",0.815117519782154,0.821606227111455,0.830911131608609,0.814947456678107,0.811959926347295,0.824856023190974
"RankSum",55,51,29,52,61,42
