"","3","5","10","20","30","PurePART"
"australian",83.6231884057971,85.0724637681159,84.4927536231884,84.7826086956522,84.4927536231884,83.719806763285
"breast",93.2691511387164,93.1262939958592,94.2753623188406,94.2712215320911,94.1304347826087,93.5093167701863
"breastcancer",68.5098522167488,70.6034482758621,71.3054187192118,70.923645320197,70.9113300492611,69.5771756978654
"diabetes",72.4196855775803,71.6387559808612,72.8041695146958,73.4535201640465,73.0639097744361,71.6228070175439
"heart",74.8148148148148,75.1851851851852,79.2592592592593,75.1851851851852,75.5555555555556,74.320987654321
"hepatitis",75.6666666666667,75.6666666666667,78.1666666666667,75.75,76.4166666666667,82.0138888888889
"ionosphere",86.8809523809524,86.6031746031746,85.7380952380952,88.6031746031746,88.6031746031746,87.2619047619048
"labor",72.6666666666667,77.6666666666667,77.6666666666667,76.6666666666667,76.6666666666667,81
"liver-disorders",55.8991596638655,58.5210084033613,60.0084033613445,62.5714285714286,61.7058823529412,61.7058823529412
"mushroom",99.852353080181,99.9261538181884,99.9015232763165,99.9015232763165,99.9015232763165,100
"sick",97.7998821102269,97.7205170308619,97.7999522827109,97.7469720573169,97.7205170308619,97.8967669197554
"sonar",60.6904761904762,61.1904761904762,63.5476190476191,62.1428571428571,61.6904761904762,64.4444444444444
"tic-tac-toe",87.5789473684211,87.7905701754386,89.4561403508772,89.3508771929825,87.7850877192982,90.6337719298246
"vote",95.1849894291755,94.73044397463,95.1849894291755,95.1902748414376,95.1902748414376,95.3453136011276
"Average",80.3469132650207,81.1029874810963,82.1147871253335,81.8957110892395,81.7024466523493,82.3608619144349
"RankSum",78,63,39,39,47,39
