"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.810088972068166,0.84889291110928,0.82048003437743,0.836219726293308,0.85337888925977,0.863451495611684,0.829682360496709,0.841786289207333,0.842353042105742,0.855586746228253,0.862929457551951
"breast",0.940189141321721,0.943586090657122,0.94256064891153,0.937974393273281,0.930941331478414,0.918608234732597,0.928314896474357,0.929914472994754,0.936385113588895,0.940249639684208,0.937861782783039
"breastcancer",0.700677573260473,0.707824021444711,0.662878424155757,0.644127329192547,0.71451376170704,0.711563694332518,0.685151994135181,0.686411294753692,0.678174954934517,0.728388212961759,0.699764403061817
"diabetes",0.729396883381916,0.730286596308702,0.658033901311209,0.664029598735963,0.730525033703955,0.73539700803965,0.711590557564138,0.708553898154895,0.710302332197507,0.73791734515907,0.735544935747923
"heart",0.826280632342724,0.825144392644393,0.74358579416672,0.722816000505629,0.777347884011541,0.752856921582412,0.759236063803057,0.763969620182772,0.759661775729759,0.773413217138707,0.782184422331481
"hepatitis",0.80290606962482,0.792643467643468,0.790805513930514,0.757657157657158,0.841159997409997,0.803986787022501,0.805138125763126,0.825929268081161,0.828794072635033,0.825260619010619,0.800500801282051
"ionosphere",0.87493033474953,0.870454609170448,0.881422112016081,0.876858776150759,0.885714892806393,0.832920146272911,0.902319865418616,0.86706197456468,0.87461355763394,0.896416356343999,0.872027957880491
"labor",0.830555555555555,0.848765432098765,0.921875,0.870987654320988,0.87962962962963,0.828888888888889,0.870987654320988,0.838280423280423,0.844652777777778,0.909126984126984,0.909722222222222
"liver-disorders",0.6320141849574,0.60077198515279,0.616772521729724,0.613812861719821,0.549808933591388,0.575662832802326,0.657924568748944,0.61637351882542,0.616490959117735,0.636020766554654,0.588593670718908
"mushroom",0.998772955102402,0.999018697020589,0.990836155995758,0.990484645818067,0.999018878929448,0.999018170080276,1,1,1,0.999263807759566,0.998529188238091
"sick",0.974054803350577,0.978900871384811,0.978167506501537,0.978572583768151,0.977689247303569,0.978892851598861,0.978536512350715,0.978394563664711,0.97842982488855,0.978346430767473,0.978852863131273
"sonar",0.643718348450491,0.679292911036332,0.658099835893954,0.645029991937887,0.698573622145051,0.70162053710373,0.648722741038918,0.645820938320938,0.659604862357352,0.634852290566576,0.682038530252816
"tic-tac-toe",0.851684113410297,0.897138778149335,0.822637321637397,0.816455918619777,0.838179354188992,0.79002132314772,0.925782394566038,0.888471528904474,0.908803467742711,0.877427937894535,0.859926433087905
"vote",0.878395525480126,0.954516323203643,0.939332225994901,0.95442596782259,0.95627438635534,0.954838551309989,0.958654624818831,0.957016533738377,0.95544506170359,0.9406348915323,0.954838551309989
"Average",0.820976078075443,0.834088363358885,0.816249071187322,0.807818043272566,0.830911131608609,0.81769481732329,0.833003025678544,0.824856023190974,0.828122271600936,0.838064660409193,0.83309394425714
"RankSum",100,71,106,115,69,91,70,89,78,61,72
